                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.74451,                0.60373,                 1.1836,                0.97767,                0.96857,                0.99119,                0.87053,                 0.5465,                0.48355,                 1.0104,             0.00035208,             0.00035208,             0.00035208
                     72,                0.76424,                 0.6132,                   1.21,                0.96616,                 0.9709,                0.99254,                0.87178,                0.54499,                0.48495,                 1.0011,             0.00034108,             0.00034108,             0.00034108
                     73,                0.77376,                0.62667,                 1.1961,                0.98339,                0.98098,                0.99427,                0.88494,                0.52485,                0.42849,                0.98605,             0.00033008,             0.00033008,             0.00033008
                     74,                0.76212,                0.60364,                 1.2014,                0.98929,                0.98121,                0.99444,                0.87503,                0.53635,                0.42916,                 0.9962,             0.00031908,             0.00031908,             0.00031908
                     75,                0.74195,                0.58464,                 1.1876,                0.98918,                0.98269,                0.99425,                0.88764,                 0.5111,                0.41256,                 0.9767,             0.00030808,             0.00030808,             0.00030808
                     76,                0.75747,                0.59817,                 1.1913,                0.99112,                0.98653,                0.99464,                0.88305,                0.53239,                0.42228,                0.99072,             0.00029708,             0.00029708,             0.00029708
                     77,                0.75253,                0.58863,                  1.182,                 0.9832,                0.98146,                0.99403,                0.88891,                0.51017,                0.41731,                0.98035,             0.00028608,             0.00028608,             0.00028608
                     78,                0.75137,                0.59742,                 1.1896,                0.97626,                0.98258,                0.99397,                0.87546,                0.53994,                0.47194,                0.99767,             0.00027508,             0.00027508,             0.00027508
                     79,                0.75034,                0.59934,                 1.1861,                0.97637,                0.97984,                0.99374,                0.88393,                0.52743,                 0.4466,                0.97767,             0.00026408,             0.00026408,             0.00026408
                     80,                0.72721,                0.57616,                 1.1759,                0.98732,                0.98496,                0.99429,                0.88458,                0.51996,                0.42396,                0.98577,             0.00025309,             0.00025309,             0.00025309
                     81,                0.73125,                0.57537,                 1.1723,                 0.9878,                0.98515,                0.99467,                 0.8891,                0.50068,                0.39606,                0.96604,             0.00024209,             0.00024209,             0.00024209
                     82,                  0.726,                0.57311,                 1.1759,                0.98242,                 0.9844,                0.99441,                0.88856,                0.50684,                0.41358,                0.97343,             0.00023109,             0.00023109,             0.00023109
                     83,                0.72573,                0.57268,                 1.1599,                0.98966,                 0.9896,                0.99469,                0.89407,                0.49429,                0.39713,                0.96494,             0.00022009,             0.00022009,             0.00022009
                     84,                0.75304,                0.57954,                 1.1822,                0.98999,                0.99127,                0.99479,                0.89867,                0.47904,                0.37946,                0.95526,             0.00020909,             0.00020909,             0.00020909
                     85,                0.72622,                0.57057,                 1.1737,                 0.9933,                0.99157,                0.99482,                0.89252,                0.49894,                0.39547,                0.96925,             0.00019809,             0.00019809,             0.00019809
                     86,                0.70557,                0.56439,                 1.1533,                0.99129,                 0.9855,                0.99477,                0.89408,                0.49104,                0.39073,                0.96048,             0.00018709,             0.00018709,             0.00018709
                     87,                0.70862,                0.56151,                 1.1598,                0.99377,                0.98828,                0.99471,                0.89569,                0.48586,                0.38695,                0.96308,             0.00017609,             0.00017609,             0.00017609
                     88,                0.74255,                0.58046,                 1.1822,                0.98995,                0.98489,                0.99451,                0.89518,                0.49041,                0.39213,                0.96362,             0.00016509,             0.00016509,             0.00016509
                     89,                0.70561,                0.54524,                 1.1445,                0.99267,                 0.9903,                0.99474,                0.89223,                0.49779,                0.38312,                0.96559,              0.0001541,              0.0001541,              0.0001541
                     90,                0.70358,                0.54642,                 1.1526,                0.98948,                 0.9883,                0.99465,                0.89605,                0.48991,                0.38824,                0.95455,              0.0001431,              0.0001431,              0.0001431
                     91,                0.55434,                0.44623,                 1.0357,                0.98467,                0.98196,                0.99367,                0.88573,                0.50289,                0.41405,                0.96072,              0.0001321,              0.0001321,              0.0001321
                     92,                0.55245,                0.44786,                 1.0292,                0.98274,                0.98712,                0.99465,                0.89426,                0.48242,                0.39904,                0.95154,              0.0001211,              0.0001211,              0.0001211
                     93,                0.54353,                0.42728,                 1.0218,                0.98767,                0.99088,                0.99466,                0.89714,                0.47924,                0.37243,                 0.9417,              0.0001101,              0.0001101,              0.0001101
                     94,                0.53476,                0.41594,                 1.0172,                0.98975,                  0.993,                0.99475,                0.89985,                0.47271,                0.37186,                0.94513,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.53358,                0.41081,                 1.0153,                0.99334,                0.98969,                0.99481,                0.89774,                0.47679,                0.36881,                0.94577,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.52258,                0.41164,                 1.0087,                0.99204,                0.99486,                0.99492,                0.90277,                0.46875,                 0.3697,                0.94468,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.52022,                0.40804,                 1.0137,                 0.9952,                0.99213,                 0.9949,                0.90314,                 0.4719,                0.35744,                0.94012,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.51557,                0.40774,                 1.0145,                0.99472,                0.99314,                0.99486,                0.90611,                0.45788,                0.35502,                0.93879,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.53045,                0.40879,                 1.0192,                0.99471,                0.99254,                0.99483,                0.90564,                0.46122,                 0.3586,                 0.9379,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.51186,                0.40442,                  1.008,                0.99601,                0.99218,                0.99483,                0.90898,                0.45414,                0.35538,                 0.9366,             3.3108e-05,             3.3108e-05,             3.3108e-05
